Cluster 0: food, football, force, forced, followers, covid, response, tests, whether, aggressive
Cluster 32: less, cost, russian, ukraine, damage, etc, pushing, obvious, weapon, collusion
Cluster 33: democrats, top, matter, campaign, funds, trump, battle, medicare, security, social
Cluster 34: follows, food, football, followed, us, work, thank, excited, great, show
Cluster 35: loudly, light, family, park, eat, states, united, morning, red, heart
Cluster 37: smiling, fire, light, man, medium, index, backhand, pointing, tone, skin
Cluster 38: attended, contained, admin, continues, saw, rise, narrative, hardly, promote, gaggles
Cluster 39: el, es, las, fifa, le, ser, como, la, de, que
Cluster 40: right, look, great, thread, biden, really, take, love, make, thinking
Cluster 41: food, folks, well, night, hell, team, entire, amazing, successful, one
Cluster 42: business, action, place, workplace, releases, workers, protect, guidance, gt, lt
Cluster 43: south, kits, korea, note, everywhere, drive, fatalities, kept, relatively, testing
Cluster 44: capacity, effect, choices, health, public, global, long, leader, level, transparency
Cluster 46: following, follows, food, football, force, followed, zone, sign, hate, age
Cluster 47: zone, people, one, outbreak, end, vaccine, asked, smart, uncomfortable, bunch
Cluster 49: money, die, democrats, less, bill, wanted, per, suicide, veterans, spending
Cluster 50: life, come, shit, single, happening, actual, things, high, watching, weary
Cluster 51: women, maybe, thought, advice, worried, boris, writing, muslim, right, far
Cluster 52: heart, explain, reminds, always, young, mom, till, act, swamp, love
Cluster 53: people, health, says, state, tested, positive, died, florida, department, statement
Cluster 54: way, kids, young, less, writing, books, idk, youth, big, see
Cluster 55: thousands, demand, insurance, fingers, proof, vital, insulin, snap, charging, medicines
Cluster 56: followed, zone, covid, says, thing, something, else, different, reporters, tour
Cluster 57: yet, numbers, run, talk, healthcare, simply, aware, failure, systemic, math
Cluster 58: force, forced, following, still, someone, already, change, trying, stupid, wtf
Cluster 59: follows, food, football, force, forced, followers, zone, longer, looks, wales
Cluster 60: office, behavior, experience, shameful, ignorant, abusive, rabid, erratic, vindictive, public
Cluster 61: forced, follows, focus, people, day, got, lot, father, places, debate
Cluster 62: followers, following, follows, food, zone, know, say, na, saying, gon
Cluster 63: food, folks, fraud, covid, work, yet, press, pay, tells, miss
Cluster 64: dems, democrat, half, tips, divided, none, table, side, poll, gop
Cluster 65: entire, fingers, straight, study, trash, cancer, everybody, daddy, foundation, cash
Cluster 66: whose, trump, inslee, attacking, luck, bye, grotesque, says, governor, good
Cluster 67: immune, ass, miss, trip, shrugging, practice, hygiene, take, joy, tears
Cluster 68: thing, please, back, run, money, seen, better, retweet, worst, housing
Cluster 69: brought, future, trust, voted, union, youth, elections, unemployment, eu, european
Cluster 70: zone, food, football, force, forced, foreign, follows, actually, playing, book
Cluster 71: month, friday, department, according, concerns, york, nyc, fewer, noon, city
Cluster 72: already, control, scare, recovered, research, brain, letting, cases, tactics, know
Cluster 73: following, follows, food, football, followed, zone, people, said, show, youtube
Cluster 74: rubble, trapping, people, coronavirus, used, china, quarantine, trapped, hotel, collapses
Cluster 75: cases, said, died, person, florida, county, gov, known, lee, liar
Cluster 76: forced, foreign, feet, feels, covid, trump, since, january, nothing, known
Cluster 77: forced, follows, folded, time, even, day, went, tried, last, night
Cluster 78: community, history, demanding, outrage, guarantee, richest, gig, greed, corporations, paid
Cluster 79: major, single, star, keeping, treated, north, admitted, artificially, outlet, unto
Cluster 80: today, confirmed, states, countries, coronavirus, updated, march, cases, covid, update
Cluster 81: epidemic, raised, cancel, putting, respect, fist, mad, sxsw, texas, tough
Cluster 82: food, football, force, forced, foreign, forget, follows, zone, na, came
Cluster 83: forced, foreign, follows, zone, world, breaking, part, play, weeks, expected
Cluster 84: food, football, force, zone, says, may, call, pence, office, schiff
Cluster 85: need, someone, ask, name, etc, type, maryland, info, traveled, details
Cluster 86: folded, follow, folks, people, saying, major, things, hurt, back, holding
Cluster 87: follows, food, football, force, followers, zone, protect, must, women, costs
Cluster 88: read, tweet, food, away, need, johnson, go, ever, life, seen
Cluster 89: para, se, por, un, una, el, la, del, en, de
Cluster 90: zone, following, follows, food, football, force, forced, foreign, followers, irl
Cluster 91: know, next, happy, stop, good, think, day, fuck, going, see
Cluster 92: pls, flight, airport, dropped, prices, closer, millennials, cuz, urselves, getting
Cluster 93: latest, video, bad, point, learn, sanders, obama, despite, attempt, bernie
Cluster 94: forget, food, covid, coronavirus, due, business, following, fears, canceled, sxsw
Cluster 95: followers, following, follows, food, football, force, forced, followed, zone, mp
Cluster 96: followers, follows, food, football, force, forced, foreign, following, zone, seem
